,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
0,FALSE,mp-573369,Cs3Nd(MoO4)3,Orthorhombic,Pnma,62,76,0,-2.41481808,TRUE,1644.271883,4.131558723,3.7419,TRUE,FALSE,NM,0.0866753,,,,,,,,,,,,,,,
1,FALSE,mp-28967,Ba(PdS2)2,Monoclinic,P2_1/m,11,14,0,-1.124079241,TRUE,316.341404,5.022717317,0.7792,FALSE,FALSE,NM,0,,,,,,,,,,,,,17.04833398,7.118969297,
2,TRUE,mp-2712904,Na7Ta3Zn(SiO4)6,Trigonal,P3,143,123,0.049678255,-2.912354268,FALSE,1612.033273,4.084346189,2.5286,TRUE,FALSE,NM,0,,,,,,,,,,,,,,,
3,TRUE,mp-1042447,TiZnBiO5,Orthorhombic,Pbca,61,64,0.077776908,-2.236384161,FALSE,876.6542544,6.095515827,0,FALSE,TRUE,NM,0.0015439,,,,,,,,,,,,,,,
4,TRUE,mp-2715697,Na2YNb3Si4(SO12)2,Triclinic,P1,1,108,0.079831579,-2.837048681,FALSE,1625.838931,2.98455435,1.8105,TRUE,FALSE,NM,0,,,,,,,,,,,,,,,
5,TRUE,mp-766094,NbO2F,Orthorhombic,P2_12_12_1,19,16,0.066867968,-3.099174001,FALSE,253.9152986,3.764365881,2.898,FALSE,FALSE,NM,0,,,,,,,,,,,,0.56239,17.57201035,13.46947692,
6,FALSE,mp-1190888,MgH12(BrO3)2,Monoclinic,C2/m,12,21,0.001682764,-1.382795515,FALSE,251.1131539,1.932265511,4.3514,FALSE,FALSE,NM,0.0011186,,,,,,,,,,,,,,,
7,TRUE,mp-1232187,Y2MgSe4,Tetragonal,I-42d,122,14,0.097574246,-1.868094708,FALSE,331.1204452,5.195011952,1.8931,TRUE,FALSE,NM,0.0018439,,,,,,,,,,,,,,,
8,FALSE,mp-546266,DyBi2IO4,Tetragonal,P4/mmm,123,8,0,-2.3423211,TRUE,151.1345414,8.475085633,1.3668,FALSE,FALSE,NM,0.0010306,,,,,,,1.443,,,,,,,,
9,FALSE,mp-1181961,Cr5S8,Monoclinic,C2/m,12,26,0,-0.978128128,TRUE,457.4841618,3.74950361,0,FALSE,TRUE,FM,27.9998481,,,,,,,,,,,,,,,
10,TRUE,mp-1293179,Li4Co3NiO8,Triclinic,P-1,2,32,0.064462232,-1.624870577,FALSE,286.7047212,4.532116077,0,FALSE,TRUE,FM,9.9995487,,,,,,,,,,,,,,,
11,FALSE,mp-559295,FePO4,Orthorhombic,Pbca,61,48,0.025890503,-2.322826979,FALSE,816.4724387,2.453838725,2.6721,TRUE,FALSE,FM,40.0050956,,,,,,,,,,,,,,,
12,FALSE,mp-12863,Ba(AlSi)2,Tetragonal,I4/mmm,139,5,0.006000129,-0.263387343,FALSE,116.1868202,3.536707393,0,FALSE,TRUE,NM,0,,,,,,,24.189,,,,,,,,
13,TRUE,mp-756721,NaBi5O8,Triclinic,P-1,2,28,0.030629162,-1.647401447,FALSE,494.4488172,8.032447294,2.2792,TRUE,FALSE,NM,0,,,,,,,,,,,,,,,
14,FALSE,mp-757220,LuH6(ClO5)3,Triclinic,P-1,2,50,0,-1.098822092,TRUE,599.7225778,2.920382255,5.3849,FALSE,FALSE,NM,2.04E-05,,,,,,,,,,,,,,,
15,TRUE,mp-1220693,Nb2CuCS2,Trigonal,P3m1,156,6,0.047980929,-0.843902489,FALSE,89.28082418,6.05398275,0,FALSE,TRUE,NM,0.0044225,,,,,,,,,,,,,,,
16,TRUE,mp-1100402,YHgB,Cubic,F-43m,216,3,0.468499307,-0.120205654,FALSE,57.8284626,8.623284003,0.3563,FALSE,FALSE,NM,6.89E-05,,,,,,,,,,,,,,,
17,TRUE,mp-1097393,Mg2CdRh,Orthorhombic,Immm,71,4,1.844006563,1.542628363,FALSE,1331.958155,0.329034559,0,FALSE,TRUE,FM,1.0000454,,,,,,,,,,,,,,,
18,TRUE,mp-753842,YZr5O11,Monoclinic,Pm,6,17,0.08564732,-3.676306111,FALSE,213.3800665,5.611023804,0.2273,FALSE,FALSE,FM,0.9924074,,,,,,,,,,,,,,,
19,TRUE,mp-758843,Li2Ti2VO6,Triclinic,P-1,2,33,0.077223783,-2.924048299,FALSE,345.4955182,3.699189291,0.2702,FALSE,FALSE,FM,9.0001838,,,,,,,,,,,,,,,
20,TRUE,mp-36577,Sr(AsS2)2,Triclinic,P1,1,7,0.037997235,-0.766100359,FALSE,196.2204946,3.094975693,1.7212,TRUE,FALSE,NM,0.0007746,,,,,,,,,,,,3.175637019,18.48866714,12.44361615,
21,TRUE,mp-1193742,Ce(IO3)3,Orthorhombic,Pmmn,59,26,0.177109113,-1.326496417,FALSE,455.3553738,4.848811739,0.5692,FALSE,FALSE,FM,1.9997158,,,,,,,,,,,,,,,
22,TRUE,mp-1228126,Al5CuW2,Tetragonal,P4/mmm,123,8,0.005097319,-0.169023852,FALSE,118.1101335,7.959411154,0,FALSE,TRUE,NM,0.0003958,,,,,,,,,,,,,,,
23,TRUE,mp-2230315,MgMn6O7F5,Triclinic,P1,1,19,0.11820809,-2.390129325,FALSE,231.3059113,4.026837755,0.4019,FALSE,FALSE,FM,25.0017337,,,,,,,,,,,,,,,
24,TRUE,mp-1211732,KAgTeS3,Monoclinic,P2_1/c,14,24,0.040001957,-0.637688823,FALSE,679.8351266,3.622430975,1.6838,TRUE,FALSE,NM,0.002031,,,,,,,,,,,,,,,
25,TRUE,mp-1217065,Ti8Cu3Ni,Tetragonal,P4/mmm,123,12,0,-0.160764761,TRUE,180.2665767,5.824178488,0,FALSE,TRUE,NM,0.0001275,,,,,,,,,,,,,,,
26,TRUE,mp-2715035,Na8Ca2Sc2Si3(SO8)3,Triclinic,P1,1,126,0.107019784,-2.677069521,FALSE,1747.317164,2.618432587,2.3594,TRUE,FALSE,NM,0,,,,,,,,,,,,,,,
27,TRUE,mp-531351,Mn2VO4,Monoclinic,Cm,8,56,0.043243796,-2.196833904,FALSE,664.6658464,4.493258172,0.0025,FALSE,FALSE,FM,88.0000422,,,,,,,,,,,,,,,
28,FALSE,mp-1194130,Zr4Pd2N,Cubic,Fd-3m,227,28,0,-0.976909984,TRUE,495.7806477,7.927795289,0,FALSE,TRUE,NM,0.0013814,,,,,,,,,,,,,,,
