Unnamed: 0,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant,Is Gap Direct_False,Is Gap Direct_True,Is Metal_False,Is Metal_True
0,False,,,,,62,76,-0.44399638686413134,-0.7433393708555742,True,2.3526026905318216,-0.27919810256015365,3.7419,,-0.4437618218547216,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
1,False,,,,,11,14,-0.44399638686413134,0.29184966351209607,True,-0.4787707935239098,0.03828059094855548,0.7792,,-0.4497721656929498,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,2.5597784796254297,-1.8085641623805662,,True,False,True,False
2,True,,,,,143,123,-0.32052141969337,-1.1423697482305375,False,2.283864494549189,-0.29601775027771327,2.5286,,-0.4497721656929498,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
3,True,,,,,61,64,-0.2506824074994511,-0.600233088835615,False,0.7159114375767185,0.42046920658445,0.0,,-0.44966510670553544,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
4,True,,,,,1,108,-0.24557553661053372,-1.0819737056434744,False,2.313300503895535,-0.6878228437011413,1.8105,,-0.4497721656929498,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
5,True,,,,,19,16,-0.27779650416745616,-1.2922015601832388,False,-0.6118738605425472,-0.41001197175110726,2.898,,-0.4497721656929498,,,,,,,-9.56468798389532e-16,,,,,-6.123724356957947,2.9704672870513478,5.120782131555618,,True,False,True,False
6,False,,,,,12,21,-0.43981388831106943,0.08435590740512451,False,-0.6178485093118428,-1.0627048097718368,4.3514,,-0.44969459837426223,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
7,True,,,,,122,14,-0.20147625765343768,-0.3048602436872963,False,-0.4472593657532643,0.09966122059926384,1.8931,,-0.4496443037414676,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
8,False,,,,,123,8,-0.44399638686413134,-0.6851958669544166,True,-0.8310199041113313,1.2682001471914743,1.3668,,-0.44970070057705547,,,,,,,-6.123724356957946,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
9,False,,,,,12,26,-0.44399638686413134,0.40890432024529805,True,-0.1778304444460269,-0.4153067132386727,0.0,,1.4918272807371276,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
10,True,,,,,2,32,-0.28377594474203993,-0.10979138413405416,False,-0.5419612384773844,-0.13649799701280635,0.0,,0.24362867530913407,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
11,False,,,,,61,48,-0.3796457165767088,-0.6695613329308868,False,0.5875935776510793,-0.8768923363639232,2.6721,,2.3243097219635165,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
12,False,,,,,139,5,-0.4290831067721609,0.9821355585805231,False,-0.9055343856287424,-0.4911161880185971,0.0,,-0.4497721656929498,,,,,,,6.123724356957943,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
13,True,,,,,2,28,-0.3678678116471087,-0.12786142964134944,False,-0.09901551640428745,1.1105085280916476,2.2792,,-0.4497721656929498,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
14,False,,,,,2,50,-0.44399638686413134,0.3121062195977926,True,0.12544603413872926,-0.7106844005749527,5.3849,,-0.4497707510913932,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
15,True,,,,,156,6,-0.32474011199904945,0.5165549970711727,False,-0.9629025422437674,0.405672887374677,0.0,,-0.4494654953309832,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
16,True,,,,,216,3,0.720455475451673,1.0969691018942702,False,-1.0299643229595823,1.320996389302023,0.3563,,-0.4497673879455356,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
17,True,,,,,71,4,4.139269467161808,2.4305832214674896,False,1.6866967397687218,-1.633862033032239,0.0,,-0.3804258039516179,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
18,True,,,,,6,17,-0.2311205516468177,-1.7550688836119996,False,-0.6983018649847774,0.24786705079192956,0.2273,,-0.3809554474167849,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
19,True,,,,,2,33,-0.25205719594997794,-1.1517485104502705,False,-0.4166092668458158,-0.4332313838511186,0.2702,,0.17432950162462935,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
20,True,,,,,1,7,-0.34955451598511794,0.5789532990304181,False,-0.734888988816738,-0.6484848134704447,1.7212,,-0.4497184524397267,,,,,,,-9.56468798389532e-16,,,,,6.123724356957943,3.6893476976835298,4.0014157837461,,False,True,True,False
21,True,,,,,59,26,-0.0037928830712212133,0.12950850306075956,False,-0.18236938228328095,-0.023673943372320698,0.5692,,-0.3111054459153708,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
22,True,,,,,123,8,-0.43132703492767754,1.057816283585694,False,-0.9014335547755695,1.084489120926373,0.0,,-0.449744719649023,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
23,True,,,,,1,19,-0.15019097779595053,-0.7235386740174824,False,-0.6600809170897948,-0.31650535216471454,0.4019,,1.2839283936223063,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
24,True,,,,,14,24,-0.3445717929982396,0.681940990991789,False,0.2962596045774878,-0.46057683060288807,1.6838,,-0.44963132962621066,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
25,True,,,,,123,12,-0.44399638686413134,1.0644401800539125,True,-0.7689054534006963,0.32380423082610627,0.0,,-0.44976332443322103,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
26,True,,,,,1,126,-0.17799943676952823,-0.9536683760481732,False,2.5723127438022177,-0.8182551368585423,2.3594,,-0.4497721656929498,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
27,True,,,,,8,56,-0.3365142240659594,-0.5685132775804247,False,0.2639161209315404,-0.150341275857835,0.0025,,5.652433553821059,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
28,False,,,,,227,28,-0.44399638686413134,0.4098812872915968,True,-0.09617582741258943,1.0732258468223836,0.0,,-0.4496763749777388,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
29,True,,,,,123,2,-0.4090893442730434,0.8839066206307894,False,-1.0314303697875684,1.839882191177022,0.0,,-0.4497716178815627,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
30,False,,,,,152,45,-0.44399638686413134,-0.643320073328184,True,0.07930036399201898,-0.6089226806771602,4.6572,,-0.4497661120304061,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
31,False,,,,,194,12,-0.35951105146559525,1.206977015361376,False,-0.6466295441893244,1.0254599221118554,0.0,,1.3621730568199404,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
32,True,,,,,198,72,-0.2386952638066073,0.18324022613186314,False,0.9172642025285861,-0.664306093931498,0.0,,0.3815558774513872,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
33,True,,,,,216,10,-0.03898660742404604,-1.0895851870050817,False,-0.879487965554174,0.3033190589467185,2.8321,,-0.4497721656929498,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
34,True,,,,,7,20,-0.248661912759094,-0.6592240692069206,False,-0.6054973529578919,0.3309870949983301,1.7032,,-0.4497713405087085,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
35,False,,,,,57,36,-0.42482144277378786,-0.47610425518743277,False,0.18360372365469896,0.9488642883902196,2.3654,,-0.44968576404885474,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
36,False,,,,,129,8,-0.44399638686413134,0.7885376201258478,True,-0.9450224761003865,1.1616452100222623,0.0,,-0.44977197846627326,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
37,True,,,,,91,28,-0.3961535076929526,-1.13309245827076,False,-0.5499324047213932,-0.532498902038768,3.5932,,0.659719459287672,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
38,False,,,,,136,20,-0.44399638686413134,0.868122098990692,True,-0.5244434963472483,0.8801329398586946,0.0,,-0.4497721448899858,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
